6237.00, 478.11, 3
1094.25, 235.09, 15
1141.50, 236.36, 15
1195.50, 237.55, 15
1260.75, 238.83, 15
1327.50, 240.02, 15
1402.00, 241.23, 15
1473.50, 242.42, 15
1541.50, 243.70, 15
14028.50, 247.36, 15
3728.00, 252.89, 10
8191.25, 125.38, 11
3872.25, 258.52, 15
8801.75, 84.55, 48
4584.50, 276.31, 12
0.00, 285.28, 0
0.00, 286.56, 0
2176.00, 289.12, 0
128.00, 124.58, 20
5122.25, 295.89, 0
9825.75, 4.72, 15
0.00, 309.61, 0
192.50, 1.69, 8
10399.25, 4.41, 0
10354.75, 93.06, 15
0.00, 333.97, 0
2719.50, 93.00, 59
7991.25, 335.12, 12
3217.00, 341.53, 13
11216.75, 115.97, 10
0.00, 4.73, 0
7477.00, 359.48, 12
15566.50, 3.34, 13
7756.50, 12.33, 11
4980.75, 21.41, 15
767.75, 124.69, 15
809.25, 124.55, 46
3663.50, 27.88, 15
3873.75, 34.30, 15
3902.50, 35.61, 15
4019.00, 36.89, 15
0.00, 45.80, 0
3807.75, 39.47, 15
3722.75, 40.77, 8
3510.25, 42.06, 15
3492.75, 43.36, 15
3543.25, 44.62, 15
3563.50, 45.94, 15
0.00, 54.80, 0
3519.50, 51.06, 9
1716.25, 77.92, 0
2497.75, 60.16, 15
2006.75, 125.44, 15
2525.00, 63.97, 15
2513.75, 66.55, 15
2480.25, 67.83, 15
2480.75, 69.12, 15
2462.75, 70.42, 15
2461.75, 71.69, 15
2453.25, 72.97, 15
2416.25, 75.55, 15
2418.00, 78.83, 15
2418.00, 79.38, 15
1879.50, 82.12, 15
1731.75, 83.44, 15
3980.50, 87.20, 15
3075.75, 124.22, 52
4687.50, 60.36, 12
1686.00, 103.88, 15
1602.00, 105.20, 15
13325.25, 106.61, 15
1216.25, 111.88, 15
1126.50, 114.45, 15
1090.50, 115.83, 15
3992.75, 117.19, 15
8783.50, 28.33, 15
4088.75, 124.09, 15
804.25, 130.39, 15
3023.50, 24.20, 16
3999.75, 136.98, 15
554.25, 146.58, 15
541.50, 149.03, 15
4502.50, 150.36, 15
14415.50, 153.17, 15
514.50, 156.95, 15
512.50, 158.42, 15
508.25, 159.66, 15
506.25, 160.92, 15
501.00, 163.47, 15
4815.50, 166.00, 15
4014.75, 174.95, 15
335.50, 15.38, 15
6172.75, 124.16, 15
553.50, 199.05, 15
562.25, 200.36, 15
569.50, 201.47, 15
577.25, 202.70, 15
582.75, 204.02, 15
590.75, 205.22, 15
599.25, 206.45, 15
606.50, 207.78, 15
614.00, 208.95, 15
623.75, 210.22, 15
634.00, 211.61, 15
645.00, 212.72, 15
654.50, 213.95, 15
666.75, 215.17, 15
681.25, 216.42, 15
698.50, 217.59, 15
710.50, 218.95, 15
7064.50, 220.19, 15
9295.50, 24.59, 15
862.50, 227.47, 15
9935.50, 28.89, 28
990.50, 232.41, 15
1032.50, 233.61, 15
11343.50, 35.20, 29
9167.50, 55.70, 30
15175.50, 95.56, 15
3891.00, 258.20, 15
15264.75, 346.45, 12
3991.75, 267.12, 15
8670.75, 124.55, 10
15948.50, 281.19, 0
0.00, 284.91, 0
0.00, 286.17, 0
0.00, 287.45, 0
0.00, 288.72, 0
128.00, 1.12, 0
